word_ipa,subword_ipas,audio_file,vowel_ipas,word
ambɛɾ,"am,bɛɾ",amber.wav,"a,ɛ",amber
asansœɾ,"a,san,sœɾ",asansor.wav,"a,a,œ",asansör
bilɑcis,"bi,lɑ,cis",bilakis.wav,"i,ɑ,i",bilakis
bilɑɾdo,"bi,lɑɾ,do",bilardo.wav,"i,ɑ,o",bilardo
bostand͡ʒɯ,"bos,tan,d͡ʒɯ",bostanci.wav,"o,a,ɯ",bostancı
bojkot,"boj,kot",boykot.wav,"o,o",boykot
t͡ʃœl,t͡ʃœl,col.wav,œ,çöl
dɛɾmek,"dɛɾ,mek",dermek.wav,"ɛ,e",dermek
dijetisjɛn,"di,je,tis,jɛn",diyetisyen.wav,"i,e,i,ɛ",diyetisyen
doːɾu,"doː,ɾu",dogru.wav,"o,u",doğru
ɡɯdaː,"ɡɯ,daː",gida.wav,"ɯ,a",gıda
ɡœɾcɛm,"ɡœɾ,cɛm",gorkem.wav,"œ,ɛ",görkem
hɑɫtɛɾ,"hɑɫ,tɛɾ",halter.wav,"ɑ,ɛ",halter
hoɾon,"ho,ɾon",horon.wav,"o,o",horon
iːlɑːn,"iː,lɑːn",ilan.wav,"i,ɑ",ilan
ɯtɯɾ,"ɯ,tɯɾ",itir.wav,"ɯ,ɯ",ıtır
kɯɫɯbɯk,"kɯ,ɫɯ,bɯk",kilibik.wav,"ɯ,ɯ,ɯ",kılıbık
kudys,"ku,dys",kudus.wav,"u,y",kudüs
cylɑh,"cy,lɑh",kulah.wav,"y,ɑ",külah
cylystyɾ,"cy,lys,tyɾ",kulustur.wav,"y,y,y",külüstür
kuɾuɫuʃ,"ku,ɾu,ɫuʃ",kurulu.wav,"u,u,u",kurulu
muaɫlɑk,"mu,aɫ,lɑk",muallak.wav,"u,a,ɑ",muallak
naːkɯs,"naː,kɯs",nakis.wav,"a,ɯ",nakış
œːle,"œː,le",ogle.wav,"œ,e",öğle
œksyɾyk,"œk,sy,ɾyk",oksuruk.wav,"œ,y,y",öksürük
œmyɾ,"œ,myɾ",omur.wav,"œ,y",ömür
omuz,"o,muz",omuz.wav,"o,u",omuz
oɾdu,"oɾ,du",ordu.wav,"o,u",ordu
œvynmek,"œ,vyn,mek",ovunmek.wav,"œ,y,e",övünmek
penaɫtɯ,"pe,naɫ,tɯ",penalti.wav,"e,a,ɯ",penaltı
pɛɾsonɛl,"pɛɾ,so,nɛl",personel.wav,"ɛ,o,ɛ",personel
postɛɾ,"pos,tɛɾ",poster.wav,"o,ɛ",poster
ʃaɾkɯ,"ʃaɾ,kɯ",sarki.wav,"a,ɯ",şarkı
ʃelɑːle,"ʃe,lɑː,le",selale.wav,"e,ɑ,e",şelale
selɑːm,"se,lɑːm",selam.wav,"e,ɑ",selam
selɑːnik,"se,lɑː,nik",selanik.wav,"e,ɑ,i",selanik
ʃœbijet,"ʃœ,bi,jet",sobiyet.wav,"œ,i,e",şöbiyet
sœyt,"sœ,yt",sogut.wav,"œ,y",söğüt
telɑʃ,"te,lɑʃ",telas.wav,"e,ɑ",telaş
jœnɛtim,"jœ,nɛ,tim",yonetim.wav,"œ,ɛ,i",yönetim
jumuɾd͡ʒak,"ju,muɾ,d͡ʒak",yumurcak.wav,"u,u,a",yumurcak
